-algie,f,-algien
-ant,,
-anz,f,-anzen
-chen,n,-chen
-enz,f,-enzen
-er,m,-er
-ette,f,-etten
-heit,f,-heiten
-ier,m,-iers
-ier,m,-iere
-in,f,-innen
-ismus,m,-ismen
-keit,f,-keiten
-kunde,f,
-le,n,-le
-lein,n,-lein
-ling,m,-linge
-loge,m,-logen
-logie,f,-logien
-manie,f,-manien
-mantie,f,
-meter,n,-meter
-meter,m,-meter
-phagie,f,-phagien
-philie,f,-philien
-phobie,f,-phobien
-sal,,-sale
-schaft,f,-schaften
-schrecke,f,-schrecken
-skopie,f,-skopien
-stan,,
-tum,,-tümer
-ung,f,-ungen
-urie,f,-urien
"0,2-Liter-Flasche",f,"0,2-Liter-Flaschen"
"0,33-Liter-Flasche",f,"0,33-Liter-Flaschen"
"0,5-Liter-Flasche",f,"0,5-Liter-Flaschen"
"0,7-Liter-Flasche",f,"0,7-Liter-Flaschen"
"0,75-Liter-Flasche",f,"0,75-Liter-Flaschen"
"1,2,3-Propentricarbonsäure",f,
"1,2-Benzoldicarbonsäure",f,
"1,2-Butandiol",n,
"1,2-Dihydroxypropan",n,
"1,2-Propandiol",n,
"1,2-Propylenglycol",n,
"1,4-Benzoldicarbonsäure",f,
"1,4-Butandiol",n,
"1,6-Liter-Benziner",m,"1,6-Liter-Benziner"
1-Benzolethansäure,f,
1-Butanol,n,
1-Cent-Münze,f,1-Cent-Münzen
1-Cent-Stück,n,1-Cent-Stücke
1-Dodecanol,n,
1-Euro-Job,m,1-Euro-Jobs
1-Euro-Jobber,m,1-Euro-Jobber
1-Euro-Münze,f,1-Euro-Münzen
1-Euro-Stück,n,1-Euro-Stücke
1-Hexanol,n,
1-Pentanol,n,
1-Raum-Wohnung,f,1-Raum-Wohnungen
1-Zimmer-Wohnung,f,1-Zimmer-Wohnungen
1. Johannesbrief,m,
1. Korintherbrief,m,
1. Petrusbrief,m,
1. Thessalonicherbrief,m,
1. Timotheusbrief,m,
1. Weltkrieg,m,
10-Cent-Münze,f,10-Cent-Münzen
10-Cent-Stück,n,10-Cent-Stücke
10-Euro-Schein,m,10-Euro-Scheine
10-Franken-Note,f,10-Franken-Noten
10-Franken-Schein,m,10-Franken-Scheine
10-Mark-Schein,m,10-Mark-Scheine
